,0
0,2.081263303756714
1,0.0005634595872834325
2,0.0002192671236116439
3,0.01766822673380375
4,6.8136732807033695e-06
5,0.00014927702432032675
6,0.0004040580242872238
7,0.01056280080229044
8,0.000579977931920439
9,1.915745815495029e-05
10,1.7514018963993294e-06
11,0.0003110537654720247
12,0.000819800014141947
13,1.0556394727245788e-06
14,0.0
15,4.342517058830708e-06
16,2.399180587531191e-08
17,0.0
18,2.399180587531191e-08
19,0.0
20,7.197542117864941e-08
21,0.0
22,7.197542117864941e-08
23,0.0
24,0.0
25,0.0
26,0.0
27,2.399180587531191e-08
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,2.399180587531191e-08
38,5.758033694291953e-07
39,0.0
